City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Castro,BR,63.63,['clear sky'],-24.79,-50.01,CHACARA BAILLY
7,Chuy,UY,64.35,['few clouds'],-33.7,-53.46,Nuevo Hotel Plaza
10,Itaituba,BR,73.35,['overcast clouds'],-4.28,-55.98,Hotel Campos
15,Acarau,BR,75.87,['overcast clouds'],-2.89,-40.12,castelo pizzaria
16,Cape Town,ZA,64.99,['few clouds'],-33.93,18.42,Southern Sun Waterfront Cape Town
19,Atar,MR,65.07,['clear sky'],20.52,-13.05,Oumou Elghoura
21,General Pico,AR,70.11,['clear sky'],-35.66,-63.76,Hotel Malargue
23,Busselton,AU,66.0,['few clouds'],-33.65,115.33,Observatory Guest House
30,Port Alfred,ZA,66.0,['overcast clouds'],-33.59,26.89,The Halyards Hotel
32,Saint-Philippe,RE,71.6,['broken clouds'],-21.36,55.77,"Chambres d'hôte ""La Trinité"""
35,Vaini,TO,73.4,['light rain'],-21.2,-175.2,Keleti Beach Resort
40,Hays,US,55.99,['overcast clouds'],30.05,-98.03,Sinya on Lone Man Creek
42,China,MX,73.35,['overcast clouds'],25.7,-99.23,Hotel Viajero
47,Monte Alegre,BR,73.53,['overcast clouds'],-2.01,-54.07,Hotel Shekinah
51,Grand Gaube,MU,73.0,['few clouds'],-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
58,Bredasdorp,ZA,62.6,['broken clouds'],-34.53,20.04,Bredasdorp Country Manor
59,Razole,IN,73.17,['scattered clouds'],16.48,81.83,Sterling Palavelli Godavari - Resorts and Hotels
62,Luderitz,,73.4,['clear sky'],-26.65,15.16,LÜDERITZ NEST HOTEL
69,Dafeng,CN,67.95,['overcast clouds'],23.45,108.59,Shenglong Hotel
72,Xai-Xai,MZ,66.87,['clear sky'],-25.05,33.64,Platinum Hotel
73,Katsuura,JP,55.99,['clear sky'],35.13,140.3,Katsuura Hotel Mikazuki
76,Carnarvon,AU,75.2,['overcast clouds'],-24.87,113.63,Hospitality Carnarvon
81,Eagle,US,64.4,['clear sky'],43.7,-116.35,SpringHill Suites by Marriott Boise West/Eagle
86,Komsomolskiy,UZ,59.0,['overcast clouds'],40.43,71.72,"Hotel ""Ikathouse"""
88,Port Elizabeth,ZA,64.4,['broken clouds'],-33.92,25.57,39 On Nile Guest House
90,Libreville,GA,77.0,['few clouds'],0.39,9.45,Hotel Re-Ndama
92,Ponta Do Sol,PT,59.0,['scattered clouds'],32.67,-17.1,Hotel do Campo
98,Bengkulu,ID,74.61,['overcast clouds'],-3.8,102.27,Grage Hotel Bengkulu
101,Nouakchott,MR,71.6,['clear sky'],18.09,-15.98,Hôtel Iman
102,Waitara,NZ,64.99,['overcast clouds'],-38.92,174.25,
105,Saldanha,ZA,62.6,['clear sky'],-33.01,17.94,Blue Bay Lodge
114,New Norfolk,AU,55.99,['shower rain'],-42.78,147.06,The Shingles Riverside Cottages
115,Wadi Maliz,TN,59.0,['overcast clouds'],36.47,8.55,HOPITAL
116,Hermanus,ZA,59.0,['clear sky'],-34.42,19.23,Misty Waves Boutique Hotel
117,Nishihara,JP,66.2,['scattered clouds'],26.18,127.76,Minshuku Agaihama
120,Dong Hoi,VN,73.53,['overcast clouds'],17.48,106.6,Nam Long Hotel
123,Comodoro Rivadavia,AR,77.0,['broken clouds'],-45.87,-67.5,Austral Hotel
124,East London,ZA,71.91,['broken clouds'],-33.02,27.91,Tu Casa
130,Alyangula,AU,75.2,['broken clouds'],-13.85,136.42,Groote Eylandt Lodge
131,Hobart,AU,55.99,['shower rain'],-42.88,147.33,St Ives Apartments
132,Ambovombe,MG,67.95,['scattered clouds'],-25.17,46.08,MONJA Talilisoa
134,Sungairaya,ID,74.07,['overcast clouds'],0.7,108.9,808 artel
135,Albany,US,66.99,['broken clouds'],42.6,-73.97,
