City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Doha,QA,2020-03-18 10:46:02,25.29,51.53,89.6,54,40,13.87
70,Prince Rupert,CA,2020-03-18 10:48:05,54.32,-130.32,32.0,60,1,5.82
71,Narsaq,GL,2020-03-18 10:48:05,60.92,-46.05,21.2,31,100,16.11
72,Venado Tuerto,AR,2020-03-18 10:48:05,-33.75,-61.97,59.0,98,97,8.12
73,Shahrud,IR,2020-03-18 10:48:05,36.42,54.98,58.37,53,69,3.27
74,Eyl,SO,2020-03-18 10:48:05,7.98,49.82,79.97,74,56,12.57
75,Adre,TD,2020-03-18 10:48:05,13.47,22.2,94.91,9,100,10.74
76,Bud,US,2020-03-18 10:48:05,39.45,-86.18,42.01,86,40,4.7
77,Saint Anthony,US,2020-03-18 10:48:06,45.02,-93.22,39.0,74,90,5.82
78,Mahebourg,MU,2020-03-18 10:48:06,-20.41,57.7,86.0,62,75,17.22
79,Ostrovnoy,RU,2020-03-18 10:48:06,68.05,39.51,27.41,92,97,6.08
80,Hualmay,PE,2020-03-18 10:48:06,-11.1,-77.61,72.05,75,95,2.77
81,Vao,NC,2020-03-18 10:48:06,-22.67,167.48,77.99,69,6,19.13
82,Leningradskiy,RU,2020-03-18 10:48:06,69.38,178.42,9.41,88,59,15.03
83,Bon Accord,CA,2020-03-18 10:48:06,53.83,-113.42,12.0,85,1,4.7
84,Fortuna,US,2020-03-18 10:48:06,40.6,-124.16,44.6,87,90,11.41
85,Naron,ES,2020-03-18 10:48:07,43.52,-8.15,66.99,76,0,4.7
86,Kurilsk,RU,2020-03-18 10:48:07,45.23,147.88,32.09,79,43,7.49
87,Puerto Ayora,EC,2020-03-18 10:48:07,-0.74,-90.35,73.99,90,0,3.18
88,Padang,ID,2020-03-18 10:48:07,-0.95,100.35,70.79,98,100,0.76
89,Turan,VN,2020-03-18 10:46:17,16.07,108.22,80.6,74,40,6.93
90,Nieuw Amsterdam,SR,2020-03-18 10:48:07,5.88,-55.08,77.0,88,73,13.96
91,Yenagoa,NG,2020-03-18 10:48:07,4.92,6.26,93.29,56,100,5.14
92,Anshun,CN,2020-03-18 10:48:08,26.25,105.93,53.15,72,85,10.85
93,Bida,NG,2020-03-18 10:48:08,9.08,6.02,105.71,23,77,4.27
94,Linxia,CN,2020-03-18 10:48:08,35.6,103.21,41.45,34,8,2.21
95,Zhezkazgan,KZ,2020-03-18 10:48:08,47.8,67.71,41.0,52,40,8.95
96,Acurenam,GQ,2020-03-18 10:48:08,1.03,10.65,83.39,71,99,3.11
97,Bluff,NZ,2020-03-18 10:48:08,-46.6,168.33,53.01,87,83,1.01
98,Mercedes,AR,2020-03-18 10:48:08,-34.65,-59.43,64.99,99,19,3.0
99,Beringovskiy,RU,2020-03-18 10:48:08,63.05,179.32,29.57,97,100,21.18
100,Hithadhoo,MV,2020-03-18 10:48:09,-0.6,73.08,85.73,70,30,6.38
101,Airai,TL,2020-03-18 10:48:09,-8.93,125.41,65.75,92,71,3.29
102,Sioux Lookout,CA,2020-03-18 10:48:09,50.1,-91.92,6.8,71,75,4.7
103,Viedma,AR,2020-03-18 10:48:09,-40.81,-63.0,62.87,77,81,5.88
104,Khandagayty,RU,2020-03-18 10:48:09,50.73,92.05,18.23,98,97,0.85
105,Monteagudo,BO,2020-03-18 10:48:09,-19.82,-63.98,69.8,94,75,2.91
106,Clyde River,CA,2020-03-18 10:48:09,70.47,-68.59,-14.8,68,75,21.92
107,Cabo San Lucas,MX,2020-03-18 10:45:08,22.89,-109.91,66.99,73,91,11.88
108,Alta Floresta,BR,2020-03-18 10:48:10,-9.88,-56.09,72.95,98,100,2.51
109,Leshukonskoye,RU,2020-03-18 10:48:10,64.9,45.76,32.45,99,100,9.37
110,Sirsilla,IN,2020-03-18 10:48:10,18.38,78.83,96.71,19,7,1.3
111,Kigoma,TZ,2020-03-18 10:43:20,-4.88,29.63,75.29,79,100,13.44
112,Jamestown,US,2020-03-18 10:47:57,42.1,-79.24,35.6,100,1,4.7
113,Chuy,UY,2020-03-18 10:48:10,-33.7,-53.46,69.71,78,100,3.65
114,Constitucion,CL,2020-03-18 10:48:10,-35.33,-72.42,57.11,74,0,3.36
115,Nemuro,JP,2020-03-18 10:48:10,43.32,145.57,34.07,82,0,8.25
116,Paamiut,GL,2020-03-18 10:48:10,61.99,-49.67,25.43,67,100,27.74
